timestamp,event,state,ap_state,nav_state,action_ms,e2e_ms,passive,ai_gate_mode
1786289149.1310332,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.621,,1,shadow
1786289150.0060952,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.553,,1,shadow
1786289153.8806756,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.421,,1,shadow
1786289154.756573,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.535,,1,shadow
1786289160.1320252,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.717,,1,shadow
1786289161.0062778,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.781,,1,shadow
1786289164.8812099,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.547,,1,shadow
1786289165.756459,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.653,,1,shadow
1786289166.6315649,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.774,,1,shadow
1786289167.381062,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.545,,1,shadow
1786289171.131048,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.575,,1,shadow
1786289172.0060453,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.63,,1,shadow
1786289172.756073,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.553,,1,shadow
1786289173.6311557,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.659,,1,shadow
1786289178.3809311,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.51,,1,shadow
1786289179.255982,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.568,,1,shadow
1786289183.7559478,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.557,,1,shadow
1786289184.6317623,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.892,,1,shadow
1786289185.5060918,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.696,,1,shadow
1786289189.381044,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.676,,1,shadow
1786289190.2562056,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.588,,1,shadow
1786289191.880939,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.601,,1,shadow
1786289194.756654,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.605,,1,shadow
1786289195.6311173,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.596,,1,shadow
1786289196.5060787,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.508,,1,shadow
1786289197.2558362,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.505,,1,shadow
1786289198.1307814,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.471,,1,shadow
1786289200.3809447,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.567,,1,shadow
1786289202.0058718,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.541,,1,shadow
1786289202.8810298,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.579,,1,shadow
1786289203.7559438,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.592,,1,shadow
1786289208.2559695,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.548,,1,shadow
1786289209.1307602,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.457,,1,shadow
1786289210.0062208,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.566,,1,shadow
1786289213.8808382,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.384,,1,shadow
1786289214.7565944,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.604,,1,shadow
1786289219.255807,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.437,,1,shadow
1786289220.1319025,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.565,,1,shadow
1786289221.0064745,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.716,,1,shadow
1786289221.7559023,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.535,,1,shadow
1786289224.8812053,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.521,,1,shadow
1786289225.7566514,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.583,,1,shadow
1786289226.5059633,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.448,,1,shadow
1786289227.3809502,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.469,,1,shadow
1786289232.7559512,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.493,,1,shadow
1786289233.631297,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.529,,1,shadow
1786289237.5058968,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.483,,1,shadow
1786289238.3809676,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.556,,1,shadow
1786289239.2559137,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.558,,1,shadow
1786289243.7560666,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.615,,1,shadow
1786289244.6318746,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.77,,1,shadow
1786289248.505734,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.471,,1,shadow
1786289249.38087,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.483,,1,shadow
1786289251.0059614,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.474,,1,shadow
1786289251.8810108,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.59,,1,shadow
1786289255.631243,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.548,,1,shadow
1786289256.3810885,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.497,,1,shadow
1786289257.2557817,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.478,,1,shadow
1786289258.130767,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.48,,1,shadow
1786289262.0064926,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.479,,1,shadow
1786289262.8814578,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.493,,1,shadow
1786289268.2564907,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.53,,1,shadow
1786289269.1314373,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,0,0.564,,1,shadow
