timestamp,event,ap_state,rpn_result,fail_count,trigger_channels
1781431909.7213268,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781431909.8443332,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432034.096949,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432034.34859,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432034.5982518,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432034.844827,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432035.0954747,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432035.3485045,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU
1781432042.5958443,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432044.8477392,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432045.0986428,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU
1781432046.845597,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432046.9717343,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432047.0972228,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432132.9739885,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432133.973426,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT
1781432235.4727633,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432236.9767613,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD2A-OU
1781432237.9756906,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432238.975025,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432239.974152,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD1A-OUT
1781432256.4751809,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432257.4772904,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432258.476846,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432258.9731367,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432259.4765303,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781432259.9738367,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781432260.475851,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
