timestamp,event,ap_state,rpn_result,fail_count,trigger_channels
1781428744.391214,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781428744.5185325,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781428745.2681468,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781428745.518445,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781428749.2653813,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781428749.3919325,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781428838.3933554,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781428839.3958695,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781428846.3935034,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781428922.893449,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781428923.895911,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781428983.3975391,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781428989.897193,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781428990.8969223,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781428991.3931177,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781428991.8963242,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781428992.8954945,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781428993.3974042,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781429247.8974748,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781429248.8983676,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781429254.3966022,ALERT→NOMINAL,NOMINAL,NORMAL,0,
