timestamp,event,ap_state,rpn_result,fail_count,trigger_channels
1781427085.1609573,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781427085.2850504,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427086.0388684,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781427086.288275,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427090.0362442,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781427090.1596363,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427179.1627755,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781427180.1646485,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781427187.163855,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427263.6629007,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781427264.6648567,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT|PD2A-OU
1781427324.1672177,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427330.6671007,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781427331.6679842,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427332.1633153,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781427332.6663563,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427333.6657813,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU
1781427334.1650796,PRE_ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427588.66616,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OU|PD3A-OUT|PD1A-OUT
1781427589.6663587,PRE_ALERT→ALERT,ALERT,TRIGGERED,3,PD3A-OU|PD3A-OUT|PD1A-OUT
1781427595.1653306,ALERT→NOMINAL,NOMINAL,NORMAL,0,
1781427601.6628315,NOMINAL→PRE_ALERT,PRE_ALERT,TRIGGERED,1,PD3A-OUT
